T,lon,lat,Regime,% Vol,link
2943,-81.049,29.311,Inundation/Overwash,39,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2943_results.png
1512,-81.423,31.016,Inundation/Overwash,94,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1512_results.png
1688,-80.08,26.268,Collision,11,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1688_results.png
1393,-81.359,30.173,Collision,31,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1393_results.png
2766,-80.549,28.05,Inundation/Overwash,80,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2766_results.png
1510,-81.43,31.012,Inundation/Overwash,81,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1510_results.png
1345,-81.301,29.943,Inundation/Overwash,49,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1345_results.png
2600,-80.214,27.294,Inundation/Overwash,68,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2600_results.png
1685,-80.088,26.241,Inundation/Overwash,104,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1685_results.png
2597,-80.201,27.265,Inundation/Overwash,99,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2597_results.png
2762,-80.537,28.026,Inundation/Overwash,38,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2762_results.png
2622,-80.27,27.416,Inundation/Overwash,77,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2622_results.png
1402,-81.372,30.219,Inundation/Overwash,63,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1402_results.png
1506,-81.404,30.94,Inundation/Overwash,0,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1506_results.png
1396,-81.363,30.189,Inundation/Overwash,32,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1396_results.png
1770,-80.089,26.999,Inundation/Overwash,66,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1770_results.png
2594,-80.193,27.249,Inundation/Overwash,124,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2594_results.png
