T,lon,lat,Regime,% Vol
3897,-82.482,27.152,Collision,16
4060,-82.107,26.429,Inundation/Overwash,31
3713,-82.825,28.058,Inundation/Overwash,-12
3860,-82.632,27.373,Collision,19
3773,-82.787,27.788,Collision,3
3947,-82.338,26.891,Inundation/Overwash,111
3706,-82.851,28.205,Collision,8
4087,-81.859,26.359,Inundation/Overwash,43
3710,-82.85,28.177,Collision,1
3742,-82.852,27.884,Collision,2
3900,-82.474,27.133,Collision,63
1591,-81.802,26.101,Inundation/Overwash,18
3772,-82.789,27.79,Collision,3
3925,-82.403,26.992,Collision,25
4020,-82.195,26.531,Inundation/Overwash,115
3923,-82.408,27.002,Collision,5
3997,-82.237,26.64,Inundation/Overwash,9
3976,-82.266,26.767,Inundation/Overwash,29
3754,-82.842,27.844,Collision,5
1560,-81.86,26.36,Inundation/Overwash,34
3874,-82.579,27.313,Collision,6
3759,-82.831,27.827,Collision,-6
3906,-82.459,27.097,Collision,34
3796,-82.738,27.707,Collision,0
4130,-81.774,26.035,Inundation/Overwash,62
3801,-82.738,27.689,Collision,0
4103,-81.823,26.252,Inundation/Overwash,81
3985,-82.255,26.695,Inundation/Overwash,14
3990,-82.259,26.674,Inundation/Overwash,29
3846,-82.681,27.429,Collision,59
3813,-82.763,27.584,Inundation/Overwash,58
3879,-82.555,27.267,Collision,0
3737,-82.847,27.911,Collision,24
4039,-82.141,26.449,Inundation/Overwash,23
4083,-81.893,26.403,Inundation/Overwash,7
3719,-82.828,28.009,Collision,16
1603,-81.778,26.042,Inundation/Overwash,66
1557,-81.872,26.382,Inundation/Overwash,66
1604,-81.774,26.036,Inundation/Overwash,88
3728,-82.831,27.964,Collision,37
1568,-81.834,26.3,Inundation/Overwash,23
1606,-81.769,26.024,Inundation/Overwash,73
4022,-82.194,26.524,Inundation/Overwash,111
3950,-82.332,26.885,Inundation/Overwash,9
3912,-82.447,27.065,Collision,32
3996,-82.24,26.644,Inundation/Overwash,18
3748,-82.848,27.86,Collision,0
3915,-82.438,27.051,Collision,36
4070,-82.053,26.43,Inundation/Overwash,-1
3918,-82.419,27.022,Collision,28
3758,-82.834,27.831,Collision,-2
4046,-82.131,26.44,Inundation/Overwash,54
1598,-81.789,26.064,Inundation/Overwash,158
3942,-82.355,26.913,Inundation/Overwash,61
3768,-82.799,27.799,Collision,11
4047,-82.13,26.439,Inundation/Overwash,-5
3926,-82.401,26.989,Collision,41
1565,-81.843,26.323,Inundation/Overwash,42
3720,-82.827,28.003,Collision,8
4082,-81.9,26.41,Inundation/Overwash,46
3972,-82.271,26.788,Inundation/Overwash,15
3958,-82.308,26.853,Inundation/Overwash,59
3866,-82.61,27.349,Collision,64
3875,-82.574,27.308,Collision,41
3975,-82.267,26.773,Inundation/Overwash,7
3968,-82.283,26.806,Inundation/Overwash,4
3963,-82.291,26.829,Inundation/Overwash,39
3978,-82.265,26.755,Inundation/Overwash,18
3862,-82.624,27.364,Collision,10
1569,-81.828,26.273,Inundation/Overwash,85
4091,-81.848,26.335,Inundation/Overwash,36
4097,-81.832,26.294,Inundation/Overwash,14
3891,-82.501,27.186,Inundation/Overwash,73
3849,-82.67,27.422,Collision,5
3892,-82.499,27.18,Collision,-17
3893,-82.497,27.175,Collision,44
3843,-82.69,27.438,Inundation/Overwash,0
3795,-82.738,27.71,Collision,1
4140,-81.729,25.91,Collision,2
3732,-82.837,27.943,Collision,1
1566,-81.839,26.315,Inundation/Overwash,94
4069,-82.074,26.423,Inundation/Overwash,15
4066,-82.088,26.423,Inundation/Overwash,0
3814,-82.761,27.579,Inundation/Overwash,70
4035,-82.161,26.462,Inundation/Overwash,41
4013,-82.204,26.566,Inundation/Overwash,131
3991,-82.253,26.669,Inundation/Overwash,14
3807,-82.745,27.655,Collision,0
3946,-82.346,26.902,Inundation/Overwash,51
3723,-82.828,27.988,Collision,6
3877,-82.569,27.276,Collision,17
3886,-82.515,27.213,Collision,0
3770,-82.794,27.794,Collision,18
3871,-82.59,27.329,Collision,18
3792,-82.74,27.716,Collision,0
3766,-82.806,27.804,Collision,31
3929,-82.392,26.973,Collision,38
4029,-82.188,26.496,Inundation/Overwash,45
3927,-82.399,26.984,Inundation/Overwash,26
3709,-82.851,28.183,Collision,3
3725,-82.828,27.982,Collision,0
3960,-82.302,26.844,Inundation/Overwash,25
3816,-82.744,27.535,Collision,0
4064,-82.097,26.425,Inundation/Overwash,31
4080,-81.91,26.425,Inundation/Overwash,26
3861,-82.629,27.369,Collision,34
3971,-82.273,26.792,Inundation/Overwash,22
3933,-82.378,26.952,Collision,59
3974,-82.268,26.778,Inundation/Overwash,51
1611,-81.752,25.99,Inundation/Overwash,18
1586,-81.807,26.137,Inundation/Overwash,28
3977,-82.266,26.762,Inundation/Overwash,24
3797,-82.738,27.704,Collision,0
1599,-81.787,26.06,Inundation/Overwash,214
3961,-82.299,26.84,Inundation/Overwash,17
1622,-81.728,25.913,Collision,14
4136,-81.733,25.935,Inundation/Overwash,3
4012,-82.206,26.571,Inundation/Overwash,109
4025,-82.191,26.512,Inundation/Overwash,58
4125,-81.801,26.091,Inundation/Overwash,80
3902,-82.47,27.118,Collision,22
3873,-82.583,27.318,Collision,13
3840,-82.693,27.451,Collision,-1
3823,-82.727,27.517,Collision,50
4042,-82.136,26.445,Inundation/Overwash,9
3932,-82.382,26.958,Collision,30
4093,-81.843,26.324,Inundation/Overwash,55
4099,-81.83,26.28,Inundation/Overwash,98
4074,-81.956,26.453,Inundation/Overwash,-3
4043,-82.135,26.444,Inundation/Overwash,0
3717,-82.826,28.021,Inundation/Overwash,26
3779,-82.77,27.764,Collision,4
4072,-81.967,26.461,Inundation/Overwash,-2
3839,-82.694,27.454,Collision,5
3962,-82.295,26.834,Inundation/Overwash,52
3715,-82.822,28.034,Collision,11
3955,-82.318,26.866,Inundation/Overwash,31
3815,-82.745,27.538,Collision,0
4000,-82.228,26.629,Inundation/Overwash,131
1593,-81.799,26.087,Inundation/Overwash,110
1543,-81.967,26.463,Inundation/Overwash,-6
1552,-81.886,26.399,Inundation/Overwash,57
3780,-82.767,27.76,Collision,4
3986,-82.256,26.692,Inundation/Overwash,63
4036,-82.154,26.458,Inundation/Overwash,16
3970,-82.277,26.797,Inundation/Overwash,6
4090,-81.85,26.342,Inundation/Overwash,90
4015,-82.201,26.552,Inundation/Overwash,-210
4019,-82.195,26.534,Inundation/Overwash,130
3921,-82.411,27.009,Collision,29
3740,-82.85,27.896,Collision,3
3994,-82.244,26.654,Inundation/Overwash,77
3782,-82.761,27.747,Collision,15
4075,-81.947,26.449,Inundation/Overwash,-3
3914,-82.442,27.056,Collision,60
4102,-81.824,26.26,Inundation/Overwash,65
4023,-82.193,26.521,Inundation/Overwash,117
1595,-81.794,26.076,Inundation/Overwash,193
1556,-81.875,26.386,Inundation/Overwash,131
3743,-82.851,27.879,Collision,1
3857,-82.642,27.389,Collision,36
3989,-82.262,26.68,Inundation/Overwash,51
1608,-81.763,26.009,Inundation/Overwash,231
4005,-82.224,26.6,Inundation/Overwash,77
3810,-82.763,27.601,Collision,38
3907,-82.458,27.091,Collision,53
1550,-81.904,26.42,Inundation/Overwash,12
3790,-82.741,27.721,Collision,0
4048,-82.128,26.438,Inundation/Overwash,53
3922,-82.409,27.005,Collision,4
3949,-82.334,26.887,Inundation/Overwash,8
3980,-82.264,26.743,Inundation/Overwash,20
3828,-82.716,27.503,Collision,8
4078,-81.923,26.437,Inundation/Overwash,25
3957,-82.312,26.858,Inundation/Overwash,49
3777,-82.776,27.773,Collision,0
3883,-82.524,27.232,Collision,28
3982,-82.263,26.731,Inundation/Overwash,21
3868,-82.603,27.342,Inundation/Overwash,38
